Task,Label
pick up Shani's medical prescriptions on apr 5th at 4:40 PM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
return Tahel for his ritual which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
reserve Grandpa in 12 days around 13,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
reserve the new apple made by Grandpa until Monday at 2:20,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
i have to test the presentation for the trade show at 10 PM tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
schedule a dentist to inspect the mockup by tomorrow at 3 p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
don't forget to analyze the trip tickets by today at 1:20,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
make sure to follow up the concert certification by today at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
confirm the monthly performance review by the deadline on april 7th at 4:50.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
email the new book made by Dad until Friday at 6:15,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
look into my dry cleaning in 8 days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
finish reading chapter 80 of trade show book until the 12th of jun,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
prioritize preliminary idea report by 4:45 pm on Friday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
practice Grandpa in 10 days around 11,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
test for the project timeline on Saturday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
plan the phone case by the 16th at 8:00 p.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
send the UI mockup before the commemoration on Thursday at 6:25,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
share the summary before one am tomorrow and then check,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
organize the project report by 9a.m. on Thursday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
tomorrow i have to test the trousers for the nov lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
call the new charger made by Boss until Friday at 1:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
schedule the ice cream before the graduation on Sunday at 7:45,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
practice the shower gel before the exhibition on Saturday at 7:40,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
buy a radio follow-up by the 16th in 22,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
add Daniel to send the summary by midnight on the 8th,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,B-Date,I-Date,I-Date"
today i have to book the presentation for the jun lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
i need to check chapter eight of the biology textbook by Thursday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
book the code and code by may 22nd at 9:40 p.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
wrap up the monthly expense summary by the deadline on august 18th at 12:50,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
review a new hand mirror by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
plan the coffee table by the 9th at 2:50 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
finish reading chapter seventy of tech conference book until the 10th of january,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
today i have to manage the headphones for the feb lunch,"B-Date,O,O,O,B-Task,O,B-Task,I-Task,O,B-Task,I-Task"
submit the inventory levels by the 17th at 8:40 am,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
arrange a table at Dana's for Tuesday at 8:30 PM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
study birthday tickets today at 1:00 a.m..,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
i need to practice chapter 7 of the biology textbook by Friday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
plan Lia's gathering gift before apr 18th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
clean lyrics for the shopping on october 29th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
practice a doctor to inspect the lawn by tomorrow at 2 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
coordinate the project report by 10PM on Sunday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
learn Daniel for his exhibition which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
on october 6th at 18 finalize the project physics project,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
attend lyrics for the birthday on december 5th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
finish reading chapter 56 of networking event book until the 16th of july,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
on january 10th at 20 submit the project networking event,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
practice Daniel's rally gift before mar 28th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
attend a rideshare for the observance which is on Sunday by tomorrow at 10:15,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
finalize vacation for the project timeline this Thursday at 4,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
return the project report by 8pm on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
i need to manage the press conference in Youngton after 10:25 this Thursday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
arrange tickets for the concert on mar 14th at 5:10 am.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
complete the new tablet about onboarding next Wednesday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
finalize a table at Kathleen's for Wednesday at 3:45 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
test a new shower gel by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
update the project report by 8a.m. on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
organize a architect to inspect the pen by tomorrow at 10 AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i need to schedule the physics project in Morganport after 12:40 this Thursday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
book a table at Grandpa's for Saturday at 4:15 PM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
complete the dishes today,"B-Task,O,B-Task,B-Date"
check out my dry cleaning in twelve days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
test the new note about onboarding next Sunday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
i have to update the presentation for the training session at 4 PM today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
finish a photographer to inspect the summary by tomorrow at nine AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
plan Dror in two days around 23,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
confirm the car key slide to Boss by next Tuesday at 12am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
update the sales report summary to Boss by next Sunday at 11a.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
book Dror's celebration gift before jan 14th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i have to design the presentation for the trade show at 1 pm today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date"
submit the project report by 8pm on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
deal with Dror's medical prescriptions on apr 24th at 8:15 AM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
follow up the monthly expense summary by the deadline on november 31st at 8:25,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
return a rideshare for the rally which is on Monday by today at 10:30,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
watch preliminary idea report by 6:45 am on Wednesday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
check a rideshare for the flight which is on Thursday by tomorrow at 12:00,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
clean the new dishes about onboarding next Saturday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
study a rideshare for the observance which is on Saturday by tomorrow at 3:00,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
i need to analyze an update mail to the team at 9:40 am tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
design UI mockup for the East Hector branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
practice dishes for the shopping scheduled at noon on aug 31st,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
schedule book for the trip scheduled at noon on november 17th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
i need to submit an update mail to the team at 1:45 pm tomorrow,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
i need to plan a ruler for the product launch by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
analyze tickets for the demonstration on april 5th at 10:20 a.m..,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
send the shower gel by the 26th at 5:00 am,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
organize lyrics for the parade on april 18th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
return the notebook report in one days at 12:40 p.m.,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
share the report and submit it by Thursday at ten p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
buy webinar tickets tomorrow at 1:40 p.m..,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
confirm the monthly performance review by the deadline on january 7th at 11:15.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
update the monthly performance review by the deadline on feb 19th at 9:25.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
i need to attend the trade show in Tinafurt after 5:20 this Saturday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
i need to arrange a tablet for the trade show by Saturday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
practice the inventory levels before the celebration on Sunday at 2:25,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
go through my dry cleaning in six days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
design the apple report in 5 days at 5:50 PM,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
drop off Gal's medical prescriptions on jan 6th at 1:25 am.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
share the ice cream by the 7th at 10:50 p.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to attend chapter seven of the biology textbook by Wednesday.,"O,O,O,B-Task,I-Task,I-Task,O,O,O,O,O,B-Date"
clean a photographer to inspect the garden by today at 10 PM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
return a table follow-up by the 12th in 10,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
I'm having a protest with Gal at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
analyze computer for the vacation scheduled at noon on april 16th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
email the new book about onboarding next Tuesday,"B-Task,O,B-Task,I-Task,I-Task,I-Task,B-Date,I-Date"
drop off the monthly expense summary by the deadline on august 3rd at 10:20,"B-Task,I-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
email a dentist to inspect the banana by tomorrow at 6 p.m.,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
test the phone case by the 18th at 12:10 PM,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
drop off the ruler that Grandpa needs for the parade happening today at 4:10p.m.,"B-Task,I-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,O,B-Date,O,B-Time"
reserve Gal in five days around 9,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
check John about the networking event by next week,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
i need to watch a dishes by Saturday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
complete Dad in twelve days around 19,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
reserve graduation tickets today at 10:15 PM.,"B-Task,I-Task,I-Task,B-Date,O,B-Time,I-Time"
I'm having a wedding with Boss at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
pick up the phone for the training session that is in three weeks at 6:10 am,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
mow a notebook follow-up by the 29th in 16,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
sort out my dry cleaning in twelve days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
update a rideshare for the conference which is on Wednesday by today at 9:50,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
complete rally for the team lunch this Wednesday at four,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
book Grandma on her vacation which is on the 2nd at 4 a.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
complete a new gym bag by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
don't forget to practice the vacation tickets by today at 5:30,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
plan tickets for the wedding on aug 23rd at 12:15 AM.,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
don't forget to prioritize the memorial tickets by today at 9:45,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
on september 16th at 10 send the project physics project,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
I'm having a webinar with Dror at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
attend a rideshare for the ritual which is on Sunday by tomorrow at 11:50,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
prioritize lyrics for the graduation on may 2nd at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
book the radio and radio by august 2nd at 6:45 a.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to share the board meeting in Wrightmouth after 5:50 this Friday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
on september 3rd at 24 buy the project team lunch,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
manage a table at Noa's for Thursday at 1:25 AM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
complete a new sales report by today at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
buy the monthly performance review by the deadline on jul 29th at 2:10.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
schedule the sales report by the 15th at 9:45 PM,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
organize lyrics for the wedding on march 16th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
study a doctor appointment for next Thursday at 5:30 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to coordinate an update mail to the team at 10:45 AM today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
schedule John for his meeting which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
add intern for the festival scheduled at noon on jan 24th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
i have a training session scheduled for Tuesday next week at 12:10,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
plan Grandma on her celebration which is on the 17th at eleven p.m..,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
email haircut for the product launch this Wednesday at 9,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
Need to test the photo album before the fair on november 28th at 9:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
practice the keyboard and keyboard by may 15th at 7:20 p.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
submit the laptop report in five days at 3:20 pm,"B-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time,I-Time"
Need to prepare the paper tray before the trip on apr 27th at 5:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
submit the report and test it by Friday at 2 pm,"B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
manage Mom's vacation gift before july 29th,"B-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date"
return the monthly performance review by the deadline on jul 3rd at 8:45.,"B-Task,O,B-Task,I-Task,I-Task,O,O,O,O,B-Date,I-Date,O,B-Time"
make sure to pick up the demonstration certification by tomorrow at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
i need to clean the board meeting in Amandaport after 5:00 this Wednesday,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,I-Task,O,B-Time,O,B-Date"
i have a trade show scheduled for Sunday next week at 7:20,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
finish preliminary idea report by 4:25 pm on Sunday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
share a nurse to inspect the summary by tomorrow at 6 am,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
send a taxi for the project timeline on Tuesday by tomorrow at 6:25,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
check Mom in 3 days around 6,"B-Task,I-Task,B-Date,I-Date,I-Date,O,B-Time"
i need to add an update mail to the team at 7:45 PM today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
finish reading chapter twenty of trade show book until the 7th of january,"B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,O,B-Date,I-Date,I-Date"
i need to read an update mail to the team at 12:00 PM today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
confirm for the board meeting on Sunday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
I'm having a concert with Gal at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
confirm Daniel for his flight which is tomorrow next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
submit the garden today,"B-Task,O,B-Task,B-Date"
i have a physics project scheduled for Tuesday next week at 2:20,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
i need to add a radio for the networking event by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
i need to share a album for the training session by Thursday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
submit the phone case by the 16th at 8:30 pm,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
i need to prioritize an update mail to the team at 1:30 pm today,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Task,O,B-Time,I-Time,B-Date"
call lyrics for the observance on march 9th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
watch celebration for the tech conference this Monday at two,"B-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
Need to learn the car key before the haircut on november 31st at 6:15,"O,O,B-Task,I-Task,I-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time"
email a taxi for the training session on Sunday by today at 10:15,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
look into my dry cleaning in ten days,"B-Task,I-Task,O,B-Task,I-Task,B-Date,I-Date,I-Date"
clean preliminary idea report by 2:50 pm on Sunday,"B-Task,I-Task,I-Task,I-Task,O,B-Time,I-Time,O,B-Date"
buy a plumber appointment on feb 6th around noon,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
i have a team lunch scheduled for Tuesday next week at 12:20,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
send a architect appointment for next Friday at 2:30 a.m.,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
arrange the headphones tomorrow,"B-Task,O,B-Task,B-Date"
learn lyrics for the flight on august 8th at 21:30,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time"
follow up Dana's medical prescriptions on december 3rd at 9:00 PM.,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
read Grandpa for his flight which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
buy tickets for the reunion on jun 18th at 7:40 p.m..,"B-Task,I-Task,I-Task,O,B-Task,O,B-Date,I-Date,O,B-Time,I-Time"
share the dishes before ten PM today and then confirm,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
i need to review a worker for the tech conference by Tuesday.,"O,O,O,B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,B-Date"
plan ice cream for the East Jamesport branch tomorrow noon,"B-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,I-Task,B-Date,B-Time"
don't forget to watch the haircut tickets by today at 4:45,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
return the shower gel before the observance on Friday at 11:00,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
read for the math quiz on Wednesday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
return the report and report by jul 13th at 8:45 p.m.,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,I-Date,O,B-Time,I-Time"
remind me to watch the networking event report before Saturday at 7:45 p.m.,"O,O,O,B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
on december 15th at 4 share the project training session,"O,B-Date,I-Date,O,B-Time,B-Task,O,B-Task,I-Task,I-Task"
i have a press conference scheduled for Wednesday next week at 4:40,"O,O,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time"
drop off the camera for the project timeline that is in 5 weeks at 9:40 am,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
deal with the album for the panel discussion that is in 5 weeks at 4:00 AM,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Task,I-Task,O,O,B-Date,I-Date,I-Date,O,B-Time,I-Time"
send a slide follow-up by the 9th in 9,"B-Task,O,B-Task,I-Task,O,B-Date,I-Date,O,B-Time"
I'm having a exhibition with Dana at the cafe tomorrow at noon,"O,O,O,B-Task,I-Task,I-Task,O,O,O,B-Date,O,B-Time"
finish for the team meeting on Friday,"B-Task,I-Task,O,B-Task,I-Task,O,B-Date"
confirm a new gym bag by tomorrow at noon,"B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time"
attend a taxi for the project timeline on Friday by tomorrow at 8:45,"B-Task,O,B-Task,I-Task,O,B-Task,I-Task,O,O,O,B-Date,O,B-Time"
return Daniel for his parade which is today next week,"B-Task,I-Task,O,O,B-Task,O,O,B-Date,I-Date,I-Date"
reserve a rideshare for the ritual which is on Sunday by tomorrow at 8:45,"B-Task,I-Task,I-Task,I-Task,O,B-Task,O,O,O,O,O,B-Date,O,B-Time"
i need to update a summary by Sunday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
watch the new document made by Boss until Friday at 10:15,"B-Task,O,B-Task,I-Task,O,O,O,O,B-Date,O,B-Time"
finish the worker before one a.m. tomorrow and then check,"B-Task,I-Task,I-Task,O,B-Time,I-Time,B-Date,O,O,O"
make sure to deal with the fair certification by today at midnight,"O,O,O,B-Task,I-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
return intern for the wedding scheduled at noon on sep 9th,"B-Task,I-Task,I-Task,O,B-Task,O,O,B-Time,O,B-Date,I-Date"
finalize a table at Tahel's for Thursday at 2:10 PM,"B-Task,O,B-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
i need to organize a laptop by Wednesday.,"O,O,O,B-Task,I-Task,I-Task,O,B-Date"
don't forget to schedule the exhibition tickets by tomorrow at 1:30,"O,O,O,B-Task,O,B-Task,I-Task,O,B-Date,O,B-Time"
attend the project report by 9pm on Tuesday,"B-Task,O,B-Task,I-Task,O,B-Time,O,B-Date"
finalize a architect to inspect the radio by today at five AM,"B-Task,O,B-Task,I-Task,I-Task,I-Task,I-Task,O,B-Date,O,B-Time,I-Time"
